id,School,email,phone,website,desc,lat,lon
1,BRONX COMMUNITY COLLEGE,bcc.ARC@bcc.cuny.edu,718-289-5179,https://www.bcc.cuny.edu/campus-resources/access-resource-center/food-pantry/,Access Resource Center office: Loew Hall 125,,
2,Hostos community College,mcruz@hostos.cuny.edu," 718-518-4141",https://www.hostos.cuny.edu/Programs/One-Stop-Resource-Center,"Hostos One Stop Center, Savoy Building (1st floor intake) D-101",,
3,Lehman College,food.bank@lehman.cuny.edu,718-960-8535,https://www.lehman.edu/student-affairs/basic-needs-center/lehman-food-bank.php,718-960-8535,,
4,Brooklyn College,civicengagement@brooklyn.cuny.edu,,https://www.brooklyn.edu/dosa/student-support-services/food-pantry/,"Student Center, Room 524",,
5,Kingsborough Community college,,718-368-4660,https://www.kbcc.cuny.edu/studres/cunyedge.html,"CUNY EDGE, T4-216 (Food for Thought)",,
6,Medgar Evers College,TransitionAcademy@mec.cuny.edu,718-270-6988,https://ares.mec.cuny.edu/student-affairs/transition-academy/,"Transition Academy, 1150 Carroll Street (Room C-307)",,
7,NYC College of Technology (City Tech),Studentlife@citytech.cuny.edu,,https://www.citytech.cuny.edu/student-life/food-pantry.aspx,"Yellowjacket N.E.S.T. (Nutrition for Education and Student Achievement) Food Pantry at City Tech, 300 Jay Street, Student Life, G-516.

Appointment Link:
https://calendly.com/geramirez-1/pantry",,
8,Baruch College,deanofstudents@baruch.cuny.edu,646-312-4570,https://studentaffairs.baruch.cuny.edu/dean-of-students/bearcat-food-pantry/,"Book an Appointment to pick up grab & go bags on campus.
(https://baruch.az1.qualtrics.com/jfe/form/SV_0fwrpgDtATh3qC2)
",,
9,BMCC,arc@bmcc.cuny.edu,212-220-8195,https://www.bmcc.cuny.edu/student-affairs/arc/panther-pantry/,"Advocacy and Resource Center, Panther Pantry, Room S-230",,
10,CITY College OF NEW YORK,bennysfoodpantry@ccny.cuny.edu,,https://www.ccny.cuny.edu/bennysfoodpantry,"NAC Ground Floor. Self Serve. Book appointment or stop by Mon-Fri 10am-6pm.

https://calendly.com/bennysfoodpantry/benny-s-food-pantry-appointment-system?month=2023-03",,
11,Guttman community College,connectcenter@guttman.cuny.edu,646-313-8857,https://guttman.cuny.edu/students/connect-center/food-resources/,"The Connect Center, Room LL020/021",,
12,Hunter College,rt2049@hunter.cuny.edu,,https://hunter.cuny.edu/students/health-wellness/,"Main Campus 68th Street, West Building Room B103 

Brookdale Campus, Main Floor Lobby",,
13,John Jay College,JJCFoodBank@jjay.cuny.edu,212-237-8052,https://www.jjay.cuny.edu/john-jay-food-bank,,,
14,Laguardia community College,Laguardiacare@lagcc.cuny.edu,718-482-5135,https://www.laguardia.edu/cares/,"Laguardia Cares, Room C-107",,
15,Queens College,team@qcknightstable.org,718-570-0393,https://qcknightstable.org/,"Student Union, Lower Level, 29",,
16,Queensborough Community College,etai@qcc.cuny.edu,,http://www.qcc.cuny.edu/foodPantry/index.html,"Student Union, SU 115",,
17,School of Journalism,anthony.laviscount@journalism.cuny.edu,,,Student Affairs,,
18,School of Law,amanda.beltran@law.cuny.edu,718-340-4204,,Student Affairs,,
19,York College,foodpantry@york.cuny.edu,718-262-2008,https://www.york.cuny.edu/news/the-food-pantry-is-open--ready-to-serve-you,Room 3M02 –The Men’s Center,,
20,college of staten island,studentlife@csi.cuny.edu,718-982-3088,http://csitoday.com/2016/02/csi-food-pantry/,"Office of Student Life in the Campus Center, 1C-201",,
