Clinic Name,Address,"City, State, Zip",Phone,Borough,id,Full Address,LONGITUDE,LATITUDE
Sun River Health - Bay Street,57 Bay St,"Staten Island, NY 10301",855-681-8700,Staten Island,1,"57 Bay St, Staten Island, NY 10301",-74.0747638,40.638722
Community Health Center of Richmond,439 Port Richmond Ave,"Staten Island, NY 10302",917-830-0838,Staten Island,2,"439 Port Richmond Ave, Staten Island, NY 10302",-74.13831532540385,40.6313803
Community Health Center of Richmond Stapleton -,"St. George, 135 Canal St, Suite 200","Staten Island, NY 10304",917-830-1950,Staten Island,4,"St. George, 135 Canal St, Suite 200, Staten Island, NY 10304",-73.03885840000001,40.86046495
Staten Island University Hospital Northwell,475 Seaview Ave,"Staten Island, NY 10305",718-226-9080,Staten Island,5,"475 Seaview Ave, Staten Island, NY 10305",-74.08476372059316,40.58543795
161st Street Dental Clinic (Montefiore),"305 East 161st St, Lower Level","Bronx, NY 10451",718-579-2535,Bronx,6,"305 East 161st St, Lower Level, Bronx, NY 10451",1.3264336,51.9558804
BronxCare Ogden Family Medical & Dental,1067 Ogden Ave,,718-466-3222,Bronx,7,,11.0480288,46.3144754
"BronxCare Dr. Martin Luther King, Jr. Health Center",1775 Grand Concourse,,718-901-8400,Bronx,10,,11.0480288,46.3144754
Morris Heights Health Center at Burnside,85 West Burnside Ave,,718-716-4400,Bronx,11,,11.0480288,46.3144754
Morris Heights Health Center at Walton Avenue,25 East 183rd St,,718-716-4400,Bronx,12,,11.0480288,46.3144754
Union Community Health Center,2021 Grand Concourse,,718-960-6628,Bronx,13,,11.0480288,46.3144754
Walton Family Health Practice Dental Department,"(The Institute for Family Health), 1894 Walton Ave, 2nd Floor","Bronx, NY 10453",718-583-2700,Bronx,14,"(The Institute for Family Health), 1894 Walton Ave, 2nd Floor, Bronx, NY 10453",-73.128128,40.783427
Third Avenue Fa mily Health Center,2604 3rd Ave,,718-292-0100,Bronx,15,,11.0480288,46.3144754
Adapt Community Network - 137th Street,408 East 137th St,,718-993-3458,Bronx,16,,11.0480288,46.3144754
Union Community Health Center Dental Services,2101 Quarry Rd,,718-960-6628,Bronx,18,,11.0480288,46.3144754
BronxCare Medical & Dental at Poe,2432 Grand Concourse,,718-817-7920,Bronx,19,,11.0480288,46.3144754
Union Community Health Center,260 East 188th St,"Bronx, NY 10458",718-960-9315,Bronx,20,"260 East 188th St, Bronx, NY 10458",-73.8959688,40.8606848
951 Prospect Avenue Dental Clinic (Montefiore),951 Prospect Ave,,888-700-6623,Bronx,21,,11.0480288,46.3144754
El Nuevo San Juan Community Health Center,"(Urban Health Plan), 1065 Southern Blvd","Bronx, NY 10459",718-589-2440,Bronx,22,"(Urban Health Plan), 1065 Southern Blvd, Bronx, NY 10459",-73.89229328513464,40.8250661
Metro Community Health Center Bronx,979 Cross Bronx Expressway,"Bronx, NY 10460",718-665-7565,Bronx,23,"979 Cross Bronx Expressway, Bronx, NY 10460",-73.8759431,40.8365417
Morris Heights Health Center at  Vanguard,825 East 233rd St,,718-716-4400,Bronx,29,,11.0480288,46.3144754
Wakefield Dental Clinic (Montefiore),"4234 Bronx Blvd, 2nd Floor",,347-341-4330,Bronx,30,,11.0480288,46.3144754
Centennial Dental Clinic (Montefiore),"3332 Rochambeau Ave, 2nd Floor","Bronx, NY 10467",718-920-2063,Bronx,31,"3332 Rochambeau Ave, 2nd Floor, Bronx, NY 10467",-0.011323,5.7178515
North Central Bronx Hospital Dental Clinic,"3424 Kossuth Ave, Unit 2A","Bronx, NY 10467",718-519-3300,Bronx,32,"3424 Kossuth Ave, Unit 2A, Bronx, NY 10467",-73.94046161224489,40.8412813877551
Schiff Dental Clinic (Montefiore),"3444 Kossuth Ave, 1st Floor","Bronx, NY 10467",888-700-6623,Bronx,33,"3444 Kossuth Ave, 1st Floor, Bronx, NY 10467",-73.9433492,40.8424454
