ID,TYPE,PROGRAM,ORG PHONE,DISTADDDI,TB,DRIOSTZIP,DAYS,HOURS,FULL_ADDRESS,LONGITUDE,LATITUDE
85670.0,FP,ACADEMY OF MEDICAL & PUBLIC HEALTH SERVICES (AMPHS),212-256-9036,5306 3RD AVENUE - 2ND FL,BK,11220,"SAT(1,3)",2-4PM,"5306 3RD AVENUE - 2ND FL, BK, 11220",,
84948.0,FP,ACTS COMMUNITY DEVELOPMENT CORPORATION,(718) 415-1170,2114 MERMAID AVE,BK,11224,TUE/THUR,6-7:15M/11AM-2:15PM,"2114 MERMAID AVE, BK, 11224",-73.98841463554845,40.576042
84664.0,SK,ACTS COMMUNITY DEVELOPMENT CORPORATION,718-415-1170,2114 MERMAID AVE,BK,11224,WED/FRI,6-7:15PM,"2114 MERMAID AVE, BK, 11224",-73.98841463554845,40.576042
85247.0,FP,ADMIRABLE CHURCH INC,347-779-7192,1910 FLATBUSH AVENUE,BK,11210,SAT (4),10AM-12PM,"1910 FLATBUSH AVENUE, BK, 11210",-73.93772061991493,40.62310665
85798.0,FP,AL-MADINAH SCHOOL INC,718-222-4986,383 3RD AVENUE,BK,11215,FRI (3RD),12:30-2:30PM,"383 3RD AVENUE, BK, 11215",-73.9882724128866,40.6742827
85537.0,FP,APNA FOOD PANTRY BRIGHTON BEACH,718-513-4700,225 NEPTUNE AVENUE,BK,11235,WED,2-3PM,"225 NEPTUNE AVENUE, BK, 11235",-73.96169052457921,40.5818395
85330.0,FP,BAY VIEW HOUSES RESIDENT ASSOCIATION,347-307-0030,2085 ROCKAWAY PARKWAY,BK,11236,"THUR (1,2,3)",9:30AM-1:30PM,"2085 ROCKAWAY PARKWAY, BK, 11236",-73.88672095631946,40.633077
83619.0,FPK,BENSONHURST COUNCIL OF JEWISH ORGANIZATIONS,(718) 333-1834,8635 21ST AVE,BK,11214,TUE,10AM-4PM,"8635 21ST AVE, BK, 11214",-73.99660340521828,40.602380249999996
85386.0,FP,BETHANIE FRENCH SEVENTH DAY ADVENTIST CHURCH,718-600-2334,2059 BEDFORD AVENUE,BK,11226,"THUR (1,3)",10AM-12PM,"2059 BEDFORD AVENUE, BK, 11226",-73.95583058335112,40.6544917
85750.0,FP,BETHANY GOSPEL CHAPEL INC,718-929-1234,521 THOMAS S. BOYLAND STREET,BK,11212,"SAT(2,4)",6:30-7:30AM,"521 THOMAS S. BOYLAND STREET, BK, 11212",-73.9129337130988,40.66811265
81460.0,SK,BETHANY UNITED METHODIST CHURCH,(718) 774-5689,1208 ST. JOHN'S PLACE,BK,11213,TUE/ THUR(1ST),12:30-2:30PM/ 5-7PM,"1208 ST. JOHN'S PLACE, BK, 11213",,
83492.0,SK,BETHEL SEVENTH DAY ADVENTIST CHURCH,718-783-3630,457 GRAND AVENUE,BK,11238,SUN,1-2PM,"457 GRAND AVENUE, BK, 11238",-73.9612725,40.6816269
85527.0,FP,BETHLEM NATION'S FOOD PANTRY,718-257-8300,1962-84 LINDEN BLVD,BK,11207,SAT (4TH ONLY),10AM-12PM,"1962-84 LINDEN BLVD, BK, 11207",,
85751.0,FP,BETTER COMMUNITY FOOD PANTRY,347-240-9352,218 BUFFALO AVENUE,BK,11213,"SAT (1,3)",10AM-1PM,"218 BUFFALO AVENUE, BK, 11213",-73.92556300864504,40.671661900000004
81308.0,FP,BEULAH CHURCH OF GOD IN CHRIST JESUS,718-636-8500,956 MARCY AVENUE,BK,11216,"TUE,THUR",10:30AM-1PM,"956 MARCY AVENUE, BK, 11216",-73.94663172924709,40.680620250000004
85553.0,FP,"BEYOND WALLS, INC",347-406-5878,188 EAST 53RD STREET,BK,11203,TUE,1:30-3PM,"188 EAST 53RD STREET, BK, 11203",-73.9280045,40.6552933
