ID,TYPE,PROGRAM,ORG PHONE,DAYS,HOURS,LONGITUDE,LATITUDE,FULL ADDRESS,BOROUGH,ZICODE,mon,tue,wed,thur,fri,sat,sun,weeks_open,week_1,week_2,week_3,week_4,week_5
80015,FP,THE BIBLE CHURCH OF CHRIST,718-293-1928,"SUN (2,4)",4-6PM,-73.96816825,40.69368305,"138, Waverly Avenue, Clinton Hill, Brooklyn, Kings County, City of New York, New York, 11205, United States",Brooklyn,11205,false,false,false,false,false,false,true,"2,4",false,true,false,true,false
80026,FP,BRONX SEVENTH DAY ADVENTIST CHURCH,646-353-8926,THUR,2-5PM,-73.9558305833511,40.6544917,"Bethanie Eglise Adventiste du 7eme Jour, 2059-2063, Bedford Avenue, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11226, United States",Brooklyn,11226,false,false,false,true,false,false,false,"1,2,3,4,5",true,true,true,true,true
80029,FP,BRONX TEMPLE SEVENTH DAY ADVENTIST CHURCH,718-842-4504,"M,W,THUR",11:30AM-2:30PM,-73.9129337130988,40.66811265,"521, Thomas S. Boyland Street, Brownsville, Brooklyn, Kings County, City of New York, New York, 11212, United States",Brooklyn,11212,true,false,true,true,false,false,false,"1,2,3,4,5",true,true,true,true,true
80065,FP,GETHSEMANE BAPTIST CHURCH,347-948-0772,THUR,8-10AM,-73.9634434928214,40.5766231,"Ocean View Jewish Center, 3100, Brighton 4th Street, Brooklyn, Kings County, City of New York, New York, 11235, United States",Brooklyn,11235,false,false,false,true,false,false,false,"1,2,3,4,5",true,true,true,true,true
80081,FP,HOLY TABERNACLE CHURCH INC.,(718) 293-9862,TUE,4:30-5PM,-73.9129337130988,40.66811265,"521, Thomas S. Boyland Street, Brownsville, Brooklyn, Kings County, City of New York, New York, 11212, United States",Brooklyn,11212,false,true,false,false,false,false,false,"1,2,3,4,5",true,true,true,true,true
80082,SK,HOLY TABERNACLE CHURCH INC.,(718) 293-9862,TUE,3:30-4:30PM,-73.90224,40.83683,"3780, Third Avenue, East Tremont, Bronx County, The Bronx, City of New York, New York, 10456, United States",The Bronx,10456,false,true,false,false,false,false,false,"1,2,3,4,5",true,true,true,true,true
80085,FP,BLACK FORUM OF CO-OP CITY,(718) 320-8035,"TUE, THUR,FRI",11AM-12:45PM,-73.9882724128866,40.6742827,"Al-Madinah School, 383, 3rd Avenue, Gowanus, Brooklyn, Kings County, City of New York, New York, 11215, United States",Brooklyn,11215,false,true,false,true,true,false,false,"1,2,3,4,5",true,true,true,true,true
80086,FPK,JEWISH COMMUNITY COUNCIL OF PELHAM PARKWAY,(718) 792-4744,THUR,11AM-3PM,-73.9280045,40.6552933,"188, East 53rd Street, Brooklyn Community District 17, Brooklyn, Kings County, City of New York, New York, 11203, United States",Brooklyn,11203,false,false,false,true,false,false,false,"1,2,3,4,5",true,true,true,true,true
80121,SK,PART OF THE SOLUTION (P.O.T.S.),(718) 220-4892,MON-FRI,12:30-3:30PM,-73.9884146355485,40.576042,"Coney Island Lighthouse Mission, 2114, Mermaid Avenue, Coney Island, Brooklyn, Kings County, City of New York, New York, 11224, United States",Brooklyn,11224,true,true,true,true,true,false,false,"1,2,3,4,5",true,true,true,true,true
80137,FP,THE SALVATION ARMY BRONX CITADEL,(718) 665-8472,TUE,9AM-12PM,-73.91345,40.82261,"425, East 159th Street, Melrose, Bronx County, The Bronx, City of New York, New York, 10451, United States",The Bronx,10451,false,true,false,false,false,false,false,"1,2,3,4,5",true,true,true,true,true
